State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Tripura,Agartala,Matkawala,Lal Bahadur,Chinese Gravy,Garlic Chicken Gravy,199.0,0.0,0
Himachal Pradesh,Shimla,Pyramid,Mall Road,Seafood,Golden Fried Prawns ,879.0,0.0,0
Gujarat,Ahmedabad,McDonald's,Prahlad Nagar,Burger Combos ( 3 Pc Meals ),McAloo Tikki Double Patty Burger Combo ,226.0,4.9,7
Telangana,Hyderabad,Burger King,Forest Dept Colony,Kings Collection ( Premium Burgers ),Original Whopper Veg(XL size Bun)+Chocolate Thick Shake.,378.0,4.7,2
Himachal Pradesh,Shimla,Tara Bhojanalya,Shilli,Recommended,Dum Aloo,273.0,4.1,5
West Bengal,Kolkata,Wow! Chicken By Wow! Momo,Diamond Harbour Road,Wow! Thunderzz,Wow Thunderzz Virgin Mojito,119.0,4.3,4
Tamil Nadu,Chennai,Sangeetha's Desi Mane - Annanagar,Annanagar,North Indian Curries,Gobi Masala,269.0,4.8,4
Haryana,Gurgaon,Om Sweets & Snacks,Sector 4,Chaat,Raj Kachori,140.0,4.6,889
Jammu and Kashmir,Srinagar,Grill's,Nigeen,Rolls,Chicken Tikka Roll,295.0,4.2,49
Kerala,Kochi,Dubai Hut,Marad,Rice,Chicken Schezwan Fried Rice,175.0,4.5,14
Telangana,Hyderabad,McDonald's,Pocharam,Coffee & Beverages (Hot and Cold),Espresso Shot,120.0,0.0,0
Goa,Panaji,Cafe Sanaya,Nor_Baga-Calangute,Soup,Cream of Tomato,175.0,0.0,0
Odisha,Bhubaneswar,Burger King,Kalinga Vihar,Exclusive Deals (Save upto 40%),BK Veggie Burger + BK Veg Pizza Puff.,204.0,4.8,21
Himachal Pradesh,Shimla,Mayur Hotel & Restaurant,Mall Road Solan,Main Course,Dal Makhani,289.0,4.6,39
Himachal Pradesh,Shimla,Wendo's Pizza,Mall Road Solan,Snacks,French Fries,94.0,4.4,267
Karnataka,Bengaluru,McDonald's Gourmet Burger Collection,Bannerghatta Road,Coffee & Beverages (Hot and Cold),Coke,103.0,0.0,0
Maharashtra,Mumbai,Veg Sizzel's,Vasant Vihar,Indian Main Course,Tomato Bharta,335.0,0.0,0
Manipur,Imphal,Dawat-E-Khas Restaurant,Thangal Bazaar,Indian,Afgani Paneer,300.0,0.0,0
Rajasthan,Jaipur,Bombay Misthan Bhandar,Vaishali Nagar,Tandoori Zaika,Achari Mushroom Tikka,240.0,0.0,0
Chhattisgarh,Raipur,Moti Mahal,Vishal Nagar,Main Course,Veg Hariyali Kofta,378.0,0.0,0
West Bengal,Kolkata,Domino's Pizza,Harish Mukherjee Road,Chicken Burst,Tandoori Chicken Burst Pizza (Reg),449.0,0.0,0
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,Sudama Nagar,Starters,Falafel Nuggets with Mayo Dip,109.0,4.8,36
Telangana,Hyderabad,Pizza Hut,Meerpet,Non Veg Pizza,Sizzling Schezwan Chicken,319.0,4.2,20
Chhattisgarh,Raipur,Moti Mahal,Vishal Nagar,Chaat,Raj Kachori,195.0,4.0,60
Rajasthan,Jaipur,Shree Agarwal Caterers,Vidhyadhar Nagar,Combos,Aloo Paratha + Dahi Combo,120.0,4.3,16
Jharkhand,Ranchi,Gangaur Govindam,Khelgaon,Desserts,Strawberry Ice Cream,90.0,0.0,0
Rajasthan,Jaipur,Sodhani Sweets And Namkeen,Gopalpura,Desserts,Kesariya jalebi,190.48,4.6,149
Himachal Pradesh,Shimla,The Story House,Mall Road Solan,Indian-breads,Plain Naan,55.0,0.0,0
Telangana,Hyderabad,"Faasos - Wraps, Rolls & Shawarma",shamshabad,Newly Launched,Jalapeno Cheese Paneer Burger Wrap.,249.0,4.3,8
Assam,Guwahati,NIC Ice Creams,Christian Basti,No Added Sugar range,Belgian Chocolate No Added Sugar 100ml,114.41,4.9,7
Telangana,Hyderabad,"Faasos - Wraps, Rolls & Shawarma",shamshabad,Recommended,Jalapeno Cheese Paneer Burger Wrap.,249.0,4.3,8
Sikkim,Gangtok,KFC,Baluwakhani,RICE BOWLZ,Duo Popcorn Chicken Rice Bowl - Biryani Style,428.57,0.0,0
Meghalaya,Shillong,City Hut Family Dhaba,Oakland Road,Grilled & Roast (BBQ),Cajun Spice Grilled Fish,495.0,4.8,28
Telangana,Hyderabad,Hotel Surabhi udupi veg,Hydershakote,Dosas,Ghee Masala Dosa,129.0,4.3,5
Karnataka,Bengaluru,ITC Master Chef Creations,Doddathogur Village,Breads & Rice,Masala Biryani Rice [1/2Kg],297.0,4.6,1
Bihar,Patna,Grand Biryani Mahal,Kankarbagh,Biryani,Egg Biryani        ,140.0,4.3,46
Tripura,Agartala,Cake Plaza,Udaipur,Puff / Patties,Egg Patties - 1p,45.0,4.0,104
Meghalaya,Shillong,Burger King,Laitukhrah main road,Korean Spicy Fest(Limited Time Only),Korean Spicy Chicken (4pc) + Crispy Chicken Burger.,298.0,4.6,5
Tamil Nadu,Chennai,Baskin Robbins - Ice Cream Desserts,Pammal,Freshly Scooped Tubs,Cotton Candy Ice Cream (Tub),415.0,0.0,0
Odisha,Bhubaneswar,Priya Restaurant,Kalinga Nagar,Main Course,Gobi Kadai,254.0,4.4,7
Karnataka,Bengaluru,Kanti Sweets,Kengeri,Cookies And Biscuits,Fruit Biscuits (250 Gms),144.07,5.0,3
Jharkhand,Ranchi,Haveli Dhaba,Mesra,Biryani,Chicken dum biryani,309.0,0.0,0
Jharkhand,Ranchi,Salam Namaste Hotel & Restaurant,Mesra,Main Course,Mutton kadhai [4 pieces],336.0,0.0,0
Uttarakhand,Dehradun,Kite Restaurant,Doiwala,Assorted Snacks,Fruit chaat,196.0,0.0,0
Tamil Nadu,Chennai,Dindigul Thalappakatti - Since 1957,Poonamallee,Thalappakatti Combos,Naan Combo (non Veg),285.0,5.0,1
Tamil Nadu,Chennai,Domino's Pizza,Aerohub,BEVERAGES,B Natural Mixed Fruit from Himalayas (300 ml),71.43,0.0,0
Tamil Nadu,Chennai,Veg Meals by Lunchbox,Navalur,Recommended,"Rajma, Chapati Lunchbox with Gulab Jamun (2 pcs)",209.0,0.0,0
Delhi,New Delhi,Kaleva,Raj Nagar,Food,DAL KACHORI,21.0,0.0,0
Telangana,Hyderabad,Faasos' Signature Wraps & Rolls,Boduppal,Korean Wraps,Buldak Chicken Popcorn Korean Wrap (Spicy),249.0,0.0,0
Uttar Pradesh,Lucknow,KFC,Gomti Nagar,RICE BOWLZ,Popcorn Chicken Rice Bowl - Biryani Style,230.0,4.3,5
Maharashtra,Mumbai,McDonald's,Ulwe,McBreakfast and Value Mornings,Sausage McMuffin Sandwich Combo,256.0,4.6,1
Meghalaya,Shillong,Mikado Restaurant,Police Bazar,Vegetarian Delights,Vegetable Jalfrezi,199.0,3.0,21
Karnataka,Bengaluru,Bowl Soul,Electronic City,Desserts and Beverages,Crumble-Blueberry-Cake,149.0,4.0,7
Rajasthan,Jaipur,Dhaba 14,Dhaba 14,Breakfast,Veg sandwich,105.0,2.7,9
Uttar Pradesh,Lucknow,LunchBox - Meals and Thalis,Kamta,Kulcha Lunchbox,Chicken Tikka Masala Kulcha Lunchbox,279.0,0.0,0
Punjab,Chandigarh,RB Rolls And Fast Food,New Chd,Double Chicken Kabab Roll,Double Egg Double Chicken Kebab Roll,220.0,0.0,0
Punjab,Chandigarh,Barista Coffee,Sector 36,Value Meal Combos,Classic Combo,249.0,0.0,0
Uttar Pradesh,Lucknow,Subway,Nishatganj,Recommended,Chicken Keema Melt,299.0,4.8,2
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,"Hope Farm, Varthur Main Road",Value Scoops,Shooting Star Ice Cream (Small Scoop),110.0,0.0,0
Delhi,New Delhi,Cheesecake & Co.,Dwarka,Brownies,Chocolate Fudge Brownie,119.0,4.6,86
Gujarat,Ahmedabad,McDonald's,Gandhinagar,Protein Plus and Burgers with Millet Bun,McSpicy Paneer Burger with Multi-Millet Bun,224.0,4.5,2
Goa,Panaji,McDonald's,Calangute,Burger Combos ( 3 Pc Meals ),McSpicy Deluxe Chicken Burger Combo,375.23,3.6,23
Goa,Panaji,Highway Kitchen,Bogmalo,PAAN,Kalkatta Sada Paan ,55.0,2.1,7
Gujarat,Ahmedabad,Saurashtra Chawana & Sweets,"Sachin Tower, Prahladnagar",Namkeen @ Rs. 79,Nylon Pahuva Chevdo (200 gm),79.0,4.8,21
Odisha,Bhubaneswar,Shree Krishna Bhojanalaya,Khandagiri,Thali,Special Veg Thali,269.0,4.1,10
Meghalaya,Shillong,Lamee,Police Bazar,Rice/Pulao/ Biryani,Veg Biryani,325.0,4.7,107
Assam,Guwahati,Quick Bites,Jalukbari,Veg,Paneer Dal Fry,185.0,0.0,0
Gujarat,Ahmedabad,KFC,Rangat Green Memories,Sides and Dips,French Fries - Medium,99.05,4.3,23
Gujarat,Ahmedabad,Burger King,Palladium FC,NEW BK Fusion (Made with KitKat),2 BK Fusion Sundae (made with Kit Kat).,258.0,4.6,1
Bihar,Patna,Awadhi,Boring Patliputra Road,Chaat N Snacks,Samosa [5 Piece],75.0,4.3,0
Delhi,New Delhi,Kashyap chole kulche,Sector 21C,Recommended,2 Raita                                  ,40.0,4.3,202
Uttarakhand,Dehradun,Kite Restaurant,Doiwala,Indian Main Course,Kadai mushroom,322.0,0.0,0
Himachal Pradesh,Shimla,Sahib's Punjabi Tadka,South Shimla,Maggi,Veg Maggi,150.0,0.0,0
Telangana,Hyderabad,KFC,Santosh nagar,EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),Chicken Bucket for Two,599.05,4.8,10
Goa,Panaji,KFC,"Opp Bharat Petrol Pump,Bamman Vaddo, Siolim",Recommended,Korean Tangy Chicken Roll,139.0,4.2,45
Tamil Nadu,Chennai,Dou,Nungambakkam,Salad,Berry Burrata Salad,495.0,4.8,9
Telangana,Hyderabad,KFC,Santosh nagar,EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),2 X Veg Krispers Burger Meal,299.05,4.3,8
Karnataka,Bengaluru,Big Bowl,Kengeri Satellite Town,Recommended,Veg Chilli Garlic Noodles Bowl.,269.0,4.4,32
Uttar Pradesh,Lucknow,KFC,Aashiana,EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),Classic Chicken Roll & Popcorn Meal,338.0,4.8,10
Tamil Nadu,Chennai,HRX by EatFit,Muthamzhil Nagar,Mexican Burrito Bowls,Chicken Mexican Burrito Bowl,364.0,4.8,21
Uttarakhand,Dehradun,Mahawar Baker's & Sweets,Jogiwala,Recommended,Chilli Potato,150.0,3.2,25
Himachal Pradesh,Shimla,Pizza Hut,Mall Road,Non Veg Pizza,Dhabe Da Keema,319.0,0.0,0
Delhi,New Delhi,Bakingo,Dwarka,Recommended,"Set of 2 each of Red Velvet ,Pineapple and Vanilla Cup Cake",499.0,3.7,14
Jharkhand,Ranchi,Brijwasi Pure Veg,Mesra,Main Course,Paneer Chilli Dry,81.0,4.3,6
Tamil Nadu,Chennai,Bhavyam Veg,Annanagar,Special Sweets,Beetroot Cake (1kg),238.0,0.0,0
Gujarat,Ahmedabad,Chinese Wok,Thaltej,Extra Dip & Crispy Noodles,Extra Momo Chutney,20.0,0.0,0
Kerala,Kochi,Supreme Upper Crust,Vyttila,"Fried Rice,noodles & Chopsuey",Hokkein Noodles Chicken,300.0,5.0,20
Karnataka,Bengaluru,Pizza Hut,Global Mall,Recommended,Classic Herbed Chicken & Capsicum,179.0,4.2,2
Bihar,Patna,7th Heaven,Hajipur,Premium,Swiss Chocoaltec Cake,499.0,0.0,0
Chhattisgarh,Raipur,Ramdev's Khana Khazana,Shankar Nagar,Sabziyaan,Aloo Do Pyaza (250 Gms),150.0,3.8,5
Chhattisgarh,Raipur,Babe da Dhaba,Tatibandh,Paneeer Main Course,Palak Paneer          ,99.0,0.0,0
Madhya Pradesh,Indore,The Good Bowl,Sheetal Nagar,Fusion Mac & Cheese Bowls,Korean Mac & Cheese With Crispy Paneer,369.0,0.0,0
Kerala,Kochi,McDonald's,MG Road,Burgers & Wraps,McVeggie Double Patty Burger,188.0,4.2,28
Haryana,Gurgaon,ZAZA Mughal Biryani,Vasant Kunj,2 Value Biryanis @ 99 each,2 Value Biryanis @ 99 each,299.0,4.6,1
Goa,Panaji,Domino's Pizza,Mapusa,Cheese Burst - 3 New Flavours,Chicken Fiesta Cheese Burst,458.0,0.0,0
Karnataka,Bengaluru,McDonald's,Rajarajeshwari Nagar,Shravan Specials,Crispy Veggie Burger..,200.0,0.0,0
Bihar,Patna,N Chennai Express,Patliputra Colony,Recommended,Onion Dosa,100.0,3.6,18
Madhya Pradesh,Indore,The Biryani Life,Sudama Nagar,Recommended,Hyderabadi Pepper Paneer Biryani (Serves 2),579.0,0.0,0
Karnataka,Bengaluru,Pizza Hut,Sarjapur,Veg Pizza,Ultimate Tandoori Veggie,379.0,3.8,7
Maharashtra,Mumbai,Radha Krishna,Thane Hiranandani Estate,Seasonal Milk Shakes,Mango Milk Shake,140.0,0.0,0
Madhya Pradesh,Indore,Oven Story Pizza,SAKET SQUARE,Special Medium Pizza,Roasted Chicken Medium Pizza,499.0,0.0,0
Rajasthan,Jaipur,Burger King,Jagatpura,Value Meals (Save Upto 47%),Veg Puff Meal.,250.0,4.6,2
Delhi,New Delhi,Ghar ka Khana by EatFit,Sector 63,Shravan Special,Classic Curd Rice,197.0,4.7,6
West Bengal,Kolkata,LunchBox - Meals and Thalis,Thakurpukur,Upwas Specials,Vrat Aloo Pattice (4 Pcs) & Green Chutney,149.0,0.0,0
Goa,Panaji,Takeout - Asian Goodness,Anjuna,Dumplings [6 Pcs],Chicken Shanghai Dumplings [6 Pieces],395.0,0.0,0
Odisha,Bhubaneswar,Giani,Khandagiri,Ice Cream Stone Sundaes,Punjabi Special Stone Sundae ,300.0,0.0,0
Karnataka,Bengaluru,Nandhana Palace,Mathikere- BELÂroad,Recommended,Baby Corn Pudhina Dry,305.0,4.6,233
Delhi,New Delhi,KFC,Dwarka,Burgers,Veg Zinger Burger,199.05,4.6,57
Gujarat,Ahmedabad,Faasos' Signature Wraps & Rolls,Sola,Recommended,DIY Chicken Signature Wrap and Wedges Breakfast Meal,259.0,0.0,0
Madhya Pradesh,Indore,Maa Ki Rasoi,Vijay Nagar,Tandoori Paneer Tikka or Kabab,Paneer Seekh Kebab,255.0,0.0,0
Gujarat,Ahmedabad,Saurashtra Chawana & Sweets,"Sachin Tower, Prahladnagar",Kaju Sweets,Dry Fruit Energy Bites,199.0,0.0,0
Himachal Pradesh,Shimla,Chullah,Solan Town,Veg Starters,Chilli Mushroom,199.0,4.0,7
Meghalaya,Shillong,Pizza Hut,Police Bazaar,Non Veg Pizza,Chicken Tikka Supreme,409.0,4.5,43
Delhi,New Delhi,Mr Bhatura,Sector 72,Beverages,Chaach,100.0,4.5,31
Mizoram,Aizawl,Zawlbuk,Company peng,Chilly Garlic Noodles,Pork noodles      ,100.0,3.9,10
Assam,Guwahati,Y Not Food Express,Jalukbari,North Indian Main Course,Mix Veg                   ,170.0,4.5,22
Punjab,Chandigarh,KFC,Sunny Enclave,Grilled Smoky Red Chicken,5 Pc Smoky Chicken Mojito Combo,627.66,0.0,0
Karnataka,Bengaluru,Polar Bear,Whitefield,Sandwiches,Peri Peri Paneer Sandwich,135.0,4.7,43
Tripura,Agartala,Momo Magic Cafe,Gurkhabasti,Special Combos,Chicken Kosha Fried Rice Bowl (2 pcs Chicken),280.0,4.0,6
Nagaland,Kohima,Shabal Restaurant,Old NST,Soups Chow,Veg Soup Chow,140.0,0.0,0
Haryana,Gurgaon,"Faasos - Wraps, Rolls & Shawarma","Sector 37,Gurgaon",Midnight Munchies at 199,Masala Paneer Tikka Wrap + Lemon Soda,199.0,0.0,0
Gujarat,Ahmedabad,KFC,Rangat Green Memories,Epic Savings Bucket for 3-4 (up to 32% off),Ultimate Savings Chicken Bucket,748.57,4.5,36
Manipur,Imphal,Pizza Hut,Chingamikha,Veg Pizza,Veggie Supreme,379.0,4.9,13
Rajasthan,Jaipur,Shree Agarwal Caterers,Vidhyadhar Nagar,Fast Food,Dry Manchurian,90.0,4.3,71
Jharkhand,Ranchi,KAVERI's,Ashok Nagar,"Tea, Snacks & Breakfast",Mix Pakora (8 Pcs),207.0,0.0,0
Karnataka,Bengaluru,NIC Ice Creams,Varthur,Kulfi,Stick Paan Kulfi,63.56,4.2,23
Rajasthan,Jaipur,Wendy's Burgers,Vaishali Nagar,Beverages & Desserts,Choco Filled Muffin,119.0,0.0,0
Meghalaya,Shillong,Pastas By Pizza Hut,Police Bazar,Hut Caf?,Frappe Mocha,169.0,0.0,0
Kerala,Kochi,Zaatar Arabic Restaurant,Palarivattom,Al Faham,Morroccan Alfaham,250.0,4.2,340
West Bengal,Kolkata,NH1 Bowls - Highway To North,Jessore Rd,Recommended,Dilliwala Paneer Makhani [Steamed Rice] Bowl,299.0,5.0,4
Manipur,Imphal,Somewhere Cafe,Wangkhei,Main Course,Egg kimbab,170.0,0.0,0
Karnataka,Bengaluru,Olio - The Wood Fired Pizzeria,Kanakapura,House Special Garlic Breads!,Popeye's Spinach Garlic Bread,239.0,4.4,21
Telangana,Hyderabad,Chaayos Chai+Snacks=Relax,Gachibowli,Recommended,Strawberry Icy Slush,239.0,4.0,2
Rajasthan,Jaipur,DMB Sweets Pvt Ltd,Lal Kothi,TRAVEL PACKS,Rajasthani Navratan Mix Can,90.0,4.8,2
Karnataka,Bengaluru,Homely,Bellandur Sarjapur,Paratha Corner,Aloo Paratha (2 pcs) with Curd and Pickle,209.0,4.2,818
Telangana,Hyderabad,"Faasos - Wraps, Rolls & Shawarma",Narsingi,Recommended,DIY Paneer Classic Wrap and Beverage Breakfast Meal,199.0,0.0,0
Karnataka,Bengaluru,Majaa Thindi,New BEL Road,Majaa Thindi Curry Specials(online),Mt Dal Fry,220.0,0.0,0
Mizoram,Aizawl,Domino's Pizza,Only_Dominos_Aizawl,DESSERTS,Choco Lava Cake Gift Hamper,355.0,0.0,0
West Bengal,Kolkata,LunchBox - Meals and Thalis,Thakurpukur,Chapati Lunchbox,Mughlai Egg Curry with Chapati Lunchbox,239.0,4.1,9
Odisha,Bhubaneswar,NIC Ice Creams,Cda Sector 6,"Double Scoops, Double Smiles",Desert Gold Duo,177.97,0.0,0
Karnataka,Bengaluru,Wendy's Burgers,WHITEFIELD,2Pcs Combos at 99,American BBQ Veggie Burger + Veggie Wrap,199.0,4.2,10
Karnataka,Bengaluru,McDonald's,Sarjapur-Marathahalli Road,Burger Combos ( 3 Pc Meals ),Crispy Veggie Burger Meal (M).,327.0,4.4,16
Himachal Pradesh,Shimla,Aao Ji Te Khao Ji,Mall Road Solan,South Indian Dishes,Idlii Sambar (2pc.),150.0,3.5,5
West Bengal,Kolkata,Veg Meals by Lunchbox,Madhyamgram,Upwas Specials,Sabudana Vada and Imli Chutney,139.0,0.0,0
Karnataka,Bengaluru,The Belgian Waffle Co.,Whitefield,Recommended,Death By Choco-rush,265.0,5.0,4
Manipur,Imphal,Hotel Enchanto Imphal,Majorkhul,Main Course,Plain Rice,110.0,0.0,0
Uttarakhand,Dehradun,Walk In Woods,Chironwali,Breakfast,Paneer Tikka Sandwich,249.0,4.4,2
Odisha,Bhubaneswar,Burger Singh(Big Punjabi Burgers),College Square,Recommended,Chicken Churmur Pandey Burger,119.0,4.2,98
West Bengal,Kolkata,Wow! Momo,DumDum,Recommended,Chicken Cheese Korean Spicy Momo - New,369.0,4.4,1
Karnataka,Bengaluru,Domino's Pizza,Rajarajeshwari Nagar,Recommended,Golden Corn,89.0,4.6,480
Chhattisgarh,Raipur,Momo Cafe - Courtyard by Marriott,Chakan,Desserts,Hot Pista Gulab Jamun (3 Piece),195.0,0.0,0
Meghalaya,Shillong,The Phoenix Residency,Nongthymmai Nongkhyriem,Fried Rice And Noodles,Egg Schezwan Fried Rice,280.0,4.1,11
Haryana,Gurgaon,McDonald's,Palam Vihar,Desserts,StrawberrySundae,91.0,4.4,87
Uttar Pradesh,Lucknow,Shiv Bhandar,Gomti Nagar,Sweets (desi Ghee),Magdal,180.0,0.0,0
Madhya Pradesh,Indore,Burger King,Rajendra Nagar,Exclusive Deals (Save upto 40%),Crispy Chicken Burger+Fries(M),218.0,4.8,10
Manipur,Imphal,New Blue Moon,Dharmasala,Recommended,Chilli Paneer(Gravy),345.0,4.9,6
Karnataka,Bengaluru,Domino's Pizza,Jalahalli,Party Combo,Dominator Party for 2 (Non-Veg) @Rs. 140 off,859.14,0.0,0
Chhattisgarh,Raipur,Moti Mahal,Vishal Nagar,Breakfast,Tandoori Kulcha + Chole ,242.0,0.0,0
Haryana,Gurgaon,Oven Story Pizza,Vasant Kunj,2X Cheese Pizza,Double Cheese Chicken Tikka Medium Pizza,539.0,5.0,4
Jammu and Kashmir,Srinagar,Punjabi Darbaar Dhaba,Boulevard,Must Try Combos,Paneer butter masala combo                                                                    ,440.0,0.0,0
West Bengal,Kolkata,Burger King,Barasat,Value Meals (Save Upto 47%),BK Veggie Burger Combo (M),278.0,4.5,1
Telangana,Hyderabad,Burger King,Miyapur,Value Meals (Save Upto 47%),Original Whopper Veg Combo (M),328.0,4.8,3
Bihar,Patna,Biryani Paradise,Hajipur,Starters,Chicken tandoori kebab [half],240.0,0.0,0
Bihar,Patna,Burger King,atna Sadar,Exclusive Deals (Save upto 40%),Crispy Chicken + Crispy Chicken.,198.0,4.4,49
Punjab,Chandigarh,Burger King,Sector 35,Value Meals (Save Upto 47%),"Chicken Makhani Burst+Fries(Reg)+Coke,",294.0,4.3,13
Mizoram,Aizawl,The Chocolate Room,Aizawl,Hot Chocolate,Cuddle cup,150.0,0.0,0
Jammu and Kashmir,Srinagar,Momoxpress,Islamia College,Momos,Kurkure Momo Chicken,220.0,4.5,6
West Bengal,Kolkata,Behrouz Biryani,Thakurpukur,Biryani & Kebab Thali,Dum Gosht Biryani Thali with Kebabs,489.0,4.3,21
Gujarat,Ahmedabad,Gwalia Sweets & Fast Food,Sindhu Bhavan,"Pizza, Pasta And Continental Delights",Texas Veggies In Jalapeno Sauce,470.0,5.0,3
Assam,Guwahati,Red Chilly's - Spirits N Spices,Jalukbari,Noodles,Mixed Schezwan Hakka Noodles,200.0,0.0,0
Maharashtra,Mumbai,Baskin Robbins - Ice Cream Desserts,Ulwe,Freshly Scooped Tubs,Roasted Coffee Creme Ice Cream (Tub),415.0,0.0,0
West Bengal,Kolkata,Faasos' Signature Wraps & Rolls,Madhyamgram,International Wraps,American Smoked Sausage Wrap,249.0,4.9,6
Chhattisgarh,Raipur,"UBQ-Meals,Thalis & Bowls",Shankar Nagar,Kebabs Platter and Starters,Barbecue Pineapple (12 Pcs),239.0,0.0,0
West Bengal,Kolkata,Wow! Momo,DumDum,Steam Momo,Veg Darjeeling Steam Momo,199.0,4.5,195
Assam,Guwahati,The Biryani Life,Beltola,Recommended,Hyderabadi Veg Biryani - Serves 1.,289.0,0.0,0
Delhi,New Delhi,KFC,Nehru Nagar,BONELESS CHICKEN POPCORN,Chicken Popcorn - Regular,125.0,4.5,43
Himachal Pradesh,Shimla,Sahib's Punjabi Tadka,South Shimla,Chowmein,Double Chicken Chowmein,400.0,0.0,0
Bihar,Patna,Mom's Kitchen,Hajipur,Maggi,Egg cheese masala maggi,79.0,0.0,0
Bihar,Patna,Wow! China,P&M Mall,Fried Rice,Veg Triple Schezwan Fried Rice Regular,325.0,0.0,0
Haryana,Gurgaon,Olio - The Wood Fired Pizzeria,Near Goga Mandir,Pastas,Herbed Chicken Pesto Pasta,299.0,4.8,2
Karnataka,Bengaluru,Caterspoint,Electronic City,All Day Breakfast,Rich Protein Soya Poha,275.0,0.0,0
Karnataka,Bengaluru,Chickpet Donne Biryani House,Jalahalli-Peenya,Combos,Donne Biryani Rice Combo,249.0,4.6,157
West Bengal,Kolkata,LunchBox - Meals and Thalis,Thakurpukur,Paratha Lunchbox,Mutton Bhuna with Paratha,429.0,4.4,1
Bihar,Patna,N Chennai Express,Patliputra Colony,Recommended,Rava Special Dosa,155.0,4.3,3
Sikkim,Gangtok,KFC,Sikkim Manipal,BURGERS,Gold Edition - Chicken Zinger Burger & Fries,329.0,4.7,2
Himachal Pradesh,Shimla,Kaushal Punjabi Rasoi,Sanjauli,Veg rice bowls,Kadhi rice,120.0,0.0,0
Rajasthan,Jaipur,Rominus Pizza and Burger,Jagatpura,Pasta,Spicy Paneer Pasta,130.0,4.1,138
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,vijayanagar,Value Scoops,Pralines 'N Cream Ice Cream (Small Scoop),110.0,0.0,0
Assam,Guwahati,The Great Indian Kitchen,Jalukbari,Paneer,Paneer Do Pyaza [8 Pieces],280.0,0.0,0
West Bengal,Kolkata,KFC,Diamond Harbour,BURGERS,Veg Zinger Burger with Cheese,224.0,4.4,2
Karnataka,Bengaluru,Majaa Thindi,New BEL Road,North Indian,Naan 1no,60.0,0.0,0
Maharashtra,Mumbai,BOX8 - Desi Meals,Nerul,Mini Thali Meals,Aloo Matar Mini Meal,219.0,4.1,6
Maharashtra,Mumbai,Shiv Sagar Veg Restaurant,Thane West,Veg Main Course,Veg Manchurian Grevy,335.0,4.5,20
Uttar Pradesh,Lucknow,Burger King,Arjunganj,NEW Whopper Deluxe (Reg. Size Bun),Flame Grilled Chicken Whopper Deluxe(Reg. Size Bun)!,199.0,0.0,0
Delhi,New Delhi,Mr Bhatura,Sector 72,Recommended,Chole ,79.0,4.3,65
Chhattisgarh,Raipur,Amritsari Restaurant Katora Talab,Katora Talab,Water Bottle,Water Bottle,110.19,5.0,3
Chhattisgarh,Raipur,Khana Khazana (Shankar Nagar),Shankar Nagar,Sabziyaan,Rajasthani Kofta (250 Gm),170.0,3.5,11
Karnataka,Bengaluru,SRIVARI BHIMMAS,Yelahanka,Dosa,Mysore Masala Dosa,150.0,5.0,4
Haryana,Gurgaon,KFC,Najafgarh,Double Down Burger,Double Down Burger & Pepsi,316.0,4.5,1
Himachal Pradesh,Shimla,Mountain's Pizza Club,Mall Road Solan,Sandwich,Cheese & Corn Sandwich,164.0,4.6,13
Gujarat,Ahmedabad,Tea Post,Shantigram,Monsoon Combo,Ginger Tea (2 Cups) & Samosa Chaat,245.0,4.6,2
Mizoram,Aizawl,Jonas Cafe,Bawngkawn,BURGERS,Chicken Cheese Burger,190.0,5.0,4
Rajasthan,Jaipur,"Faasos - Wraps, Rolls & Shawarma",Vaishali Nagar,Burger Wraps - The No Mess Express,Spicy Chicken Strips Salad Burger Wrap.,279.0,0.0,0
Gujarat,Ahmedabad,Saurashtra Chawana & Sweets,"Sachin Tower, Prahladnagar",Milk Sweets,Kesar Prasadi Peda,145.0,4.7,23
Punjab,Chandigarh,KFC,Aerocity,Rolls,Thai Spicy Chicken Roll,139.0,4.7,20
Karnataka,Bengaluru,Great Indian Khichdi by EatFit,Yelahanka,Shravan Special Curd Rice ,Millet Curd Rice with Pomegranate,213.0,4.6,22
Rajasthan,Jaipur,Burger Farm,Jhotwara,Recommended,Chicken Cheese Burst,294.0,5.0,6
Jharkhand,Ranchi,Jashn The Restaurant,Purulia Road,Chinese Starters,Babycorn Chilli,259.0,4.0,268
Delhi,New Delhi,Hira Sweets,Indirapuram,Midnight Craving,Veg Sandwich(1 Pcs),40.0,4.9,7
West Bengal,Kolkata,KFC,Newtown,EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),Chicken Mingles Bucket,399.05,4.1,12
Telangana,Hyderabad,The Airawat Kitchen,Miyapur,Dosa,Ghee Dosa,110.0,0.0,0
Bihar,Patna,Dilli Dhaba And Restaurant,Patna City,Main Course,Chicken musallam                                                             ,560.0,0.0,0
